繁體中文,簡體中文,English,日本語
Comm/CanvasOn,關卡名稱,level name,ステージ名
Comm/SetSpeaker/道士,关卡叙述,level Desc,ステージ説明
恭喜！您斬破了雜念！,關卡名稱aasasa,關卡名稱aasasa,關卡名稱aasasa
在這兒是守護符的空間,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr
你可以透過左下與右下的按鈕前往 收藏庫 與 天賦樹 頁面,關卡名稱thn,關卡名稱thn,關卡名稱thn
收藏庫可以查詢、遊玩過往關卡與查看劇情,關卡名稱mrdase,關卡名稱mrdase,關卡名稱mrdase
天賦樹可以點天賦、強化你的屬性,關卡名稱rtgh,關卡名稱rtgh,關卡名稱rtgh
斬破心鎖後，即可挑戰這一層的心房,關卡名稱tehsye,關卡名稱tehsye,關卡名稱tehsye
你將逐漸深入夢境、不斷斬破更加棘手、同時也更深層的癥結,關卡名稱wgethsgd,關卡名稱wgethsgd,關卡名稱wgethsgd
透過下方的羅盤，您可以切換不同層的夢境,關卡名稱ewegr,關卡名稱ewegr,關卡名稱ewegr
現在就試試看各種功能吧！,關卡名稱hfthetrhy,關卡名稱hfthetrhy,關卡名稱hfthetrhy
Comm/CanvasOff,關卡名稱vcbfhm,關卡名稱vcbfhm,關卡名稱vcbfhm
,Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode
,,,
,,,
,,,
,,,
,,,
,,,
,,,
.,,,
,,,
,,,
Comm/CanvasOff,,,
Comm/GoNextNode,,,
