繁體中文,簡體中文,English,日本語
Comm/CanvasOn,關卡名稱,level name,ステージ名
Comm/FightStopTimer,关卡叙述,level Desc,ステージ説明
Comm/SetBlackScreenOff,關卡名稱aasasa,關卡名稱aasasa,關卡名稱aasasa
Comm/SetImage/1/Ail_photostick,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr
Comm/SetSpeaker/艾爾,關卡名稱thn,關卡名稱thn,關卡名稱thn
這裡是哪裡? 這是教學文字嗎？,關卡名稱mrdase,關卡名稱mrdase,關卡名稱mrdase
我要怎麼移動？,關卡名稱rtgh,關卡名稱rtgh,關卡名稱rtgh
Comm/SetImage/0/xls,關卡名稱tehsye,關卡名稱tehsye,關卡名稱tehsye
Comm/SetSpeaker/謝承勳,關卡名稱wgethsgd,關卡名稱wgethsgd,關卡名稱wgethsgd
歡迎來到睡死後之兵！,關卡名稱ewegr,關卡名稱ewegr,關卡名稱ewegr
沒錯 這是用來演示的文字,關卡名稱hfthetrhy,關卡名稱hfthetrhy,關卡名稱hfthetrhy
帥吧,關卡名稱vcbfhm,關卡名稱vcbfhm,關卡名稱vcbfhm
Comm/SetImage/0/alpha,Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode
Comm/SetImage/1/alpha,,,
Comm/FightStartTimer,,,
Comm/CanvasOff,,,
Comm/GoNextNode,,,
