繁體中文,簡體中文,English,日本語
善哉善哉，看來外面也準備好了，那麼，我們入夢吧,關卡名稱,level name,ステージ名
Comm/TriggerRegisterEvent/0,关卡叙述,level Desc,ステージ説明
,關卡名稱aasasa,關卡名稱aasasa,關卡名稱aasasa
,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr
,關卡名稱thn,關卡名稱thn,關卡名稱thn
,關卡名稱mrdase,關卡名稱mrdase,關卡名稱mrdase
,關卡名稱rtgh,關卡名稱rtgh,關卡名稱rtgh
,關卡名稱tehsye,關卡名稱tehsye,關卡名稱tehsye
,關卡名稱wgethsgd,關卡名稱wgethsgd,關卡名稱wgethsgd
,關卡名稱ewegr,關卡名稱ewegr,關卡名稱ewegr
,關卡名稱hfthetrhy,關卡名稱hfthetrhy,關卡名稱hfthetrhy
,關卡名稱vcbfhm,關卡名稱vcbfhm,關卡名稱vcbfhm
,Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode
,Comm/SetImage/1/alpha,Comm/SetImage/1/alpha,Comm/SetImage/1/alpha
,Comm/FightStartTimer,Comm/FightStartTimer,Comm/FightStartTimer
,Comm/CanvasOff,Comm/CanvasOff,Comm/CanvasOff
,Comm/CanvasOff,Comm/GoNextNode,Comm/GoNextNode
,Comm/SetSpeaker/艾爾,Comm/SetSpeaker/艾爾,Comm/SetSpeaker/艾爾
,這裡是哪裡? 這是教學文字嗎？,這裡是哪裡? 這是教學文字嗎？,這裡是哪裡? 這是教學文字嗎？
,我要怎麼移動？,我要怎麼移動？,我要怎麼移動？
,Comm/SetImage/0/xls,Comm/SetImage/0/xls,Comm/SetImage/0/xls
,Comm/SetSpeaker/謝承勳,Comm/SetSpeaker/謝承勳,Comm/SetSpeaker/謝承勳
,歡迎來到睡死後之兵！,歡迎來到睡死後之兵！,歡迎來到睡死後之兵！
,沒錯 這是用來演示的文字,沒錯 這是用來演示的文字,沒錯 這是用來演示的文字
,帥吧,帥吧,帥吧
,Comm/SetImage/0/alpha,Comm/SetImage/0/alpha,Comm/SetImage/0/alpha
,Comm/SetImage/1/alpha,Comm/SetImage/1/alpha,Comm/SetImage/1/alpha
,Comm/FightStartTimer,Comm/FightStartTimer,Comm/FightStartTimer
,Comm/CanvasOff,Comm/CanvasOff,Comm/CanvasOff
,Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode
