繁體中文,簡體中文,English,日本語
Comm/Wait/1,關卡名稱,level name,ステージ名
Comm/SetBlackScreenOff,关卡叙述,level Desc,ステージ説明
Comm/CanvasOn,關卡名稱aasasa,關卡名稱aasasa,關卡名稱aasasa
Comm/FightStopTimer,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr
Comm/SetSpeaker/道士,關卡名稱thn,關卡名稱thn,關卡名稱thn
看吶！「癥結」出現了！,關卡名稱mrdase,關卡名稱mrdase,關卡名稱mrdase
只要拔除它，就能根除雜念,關卡名稱rtgh,關卡名稱rtgh,關卡名稱rtgh
不過你要當心，因為它與你相同，都擁有「連殺」的能力，卻不具「複製」的能力，很奇妙吧,關卡名稱tehsye,關卡名稱tehsye,關卡名稱tehsye
想像你面前有個鍵盤，透過按下「Tab」鍵來一次看到所有攻擊範圍吧！,關卡名稱wgethsgd,關卡名稱wgethsgd,關卡名稱wgethsgd
Comm/FightStartTimer,關卡名稱ewegr,關卡名稱ewegr,關卡名稱ewegr
Comm/CanvasOff,關卡名稱hfthetrhy,關卡名稱hfthetrhy,關卡名稱hfthetrhy
Comm/GoNextNode,關卡名稱vcbfhm,關卡名稱vcbfhm,關卡名稱vcbfhm
,Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode
