繁體中文,簡體中文,English,日本語
Comm/CanvasOn,關卡名稱,level name,ステージ名
Comm/FightStopTimer,关卡叙述,level Desc,ステージ説明
Comm/SetSpeaker/?,關卡名稱aasasa,關卡名稱aasasa,關卡名稱aasasa
又是新的雜念了，這次是什麼？,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr
Comm/SetSpeaker/道士,關卡名稱thn,關卡名稱thn,關卡名稱thn
哎呀施主，多麼精闢的見解，多麼獨到且細微的觀察！,關卡名稱mrdase,關卡名稱mrdase,關卡名稱mrdase
此雜念名為「狂暴」，在兩回合內的攻擊範圍將擴大到十分誇張的範圍,關卡名稱rtgh,關卡名稱rtgh,關卡名稱rtgh
若它啟動了，將會是極大的威脅，勸戒施主盡早處理阿,關卡名稱tehsye,關卡名稱tehsye,關卡名稱tehsye
不過，如要是精準計算距離，那麼或許危機也能成轉機,關卡名稱wgethsgd,關卡名稱wgethsgd,關卡名稱wgethsgd
複製它狂暴後巨大的'攻擊範圍，或許也是另一種思路,關卡名稱ewegr,關卡名稱ewegr,關卡名稱ewegr
Comm/FightStartTimer,關卡名稱hfthetrhy,關卡名稱hfthetrhy,關卡名稱hfthetrhy
Comm/CanvasOff,關卡名稱vcbfhm,關卡名稱vcbfhm,關卡名稱vcbfhm
Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode
,觀察盾牌間的縫隙，複製斜向的能力便可輕鬆將其擊殺,觀察盾牌間的縫隙，複製斜向的能力便可輕鬆將其擊殺,觀察盾牌間的縫隙，複製斜向的能力便可輕鬆將其擊殺
,Comm/SetSpeaker/?,Comm/SetSpeaker/?,Comm/SetSpeaker/?
,Comm/ChoiceQuestion/2/原來如此/N/是這麼回事？/N,Comm/ChoiceQuestion/2/原來如此/N/是這麼回事？/N,Comm/ChoiceQuestion/2/原來如此/N/是這麼回事？/N
,Comm/SetSpeaker/道士,Comm/SetSpeaker/道士,Comm/SetSpeaker/道士
,多利用「草人戲法」來嘗試側切、找到方向吧！,多利用「草人戲法」來嘗試側切、找到方向吧！,多利用「草人戲法」來嘗試側切、找到方向吧！
,Comm/FightStartTimer,Comm/FightStartTimer,Comm/FightStartTimer
,Comm/CanvasOff,Comm/CanvasOff,Comm/CanvasOff
,Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode
